Congregation ID,Congregation,Members,RE Enrollment,Avg. Attendance,Date Certified,FC,Cong. Poll,Total Expenses,Region,District
8006,"The Universalist Society of Strafford (South Strafford, VT)",26,2,12,01/27/18,,,"$26,174.00",New England Regional Staff,   Northern New England District
8011,"The Unitarian Church of Montpelier (Montpelier, VT)",235,96,209,01/31/18,,,"$273,693.00",New England Regional Staff,   Northern New England District
8012,"First Universalist Society (Northfield, VT)",5,8,30,01/30/18,None,,"$81,449.00",New England Regional Staff,   Northern New England District
8014,"Unitarian Universalist Church of Rutland (Rutland, VT)",72,8,43,01/24/18,,,"$102,341.00",New England Regional Staff,   Northern New England District
8015,"Universalist Unitarian Congregation of St. Johnsbury (St Johnsbury, VT)",46,0,35,01/28/18,,,"$97,551.00",New England Regional Staff,   Northern New England District
8021,"UU Church in Springfield (Springfield, VT)",40,4,26,01/31/18,,,"$64,955.00",New England Regional Staff,   Northern New England District
8022,"Washington UU Congregation (Montpelier, VT)",19,2,24,01/10/18,,,"$9,043.00",New England Regional Staff,   Northern New England District
8024,"N Universalist Chapel Society (Woodstock, VT)",147,20,80,01/29/18,,,"$149,158.00",New England Regional Staff,   Northern New England District
8026,"Universalist Society of West Burke (West Burke, VT)",10,5,10,01/29/18,,,$0.00,New England Regional Staff,   Northern New England District
2611,"Prairie UU Church (Centennial, CO)",94,35,70,01/29/18,,,"$149,610.00",Pacific Western Region,   Mountain Desert District
2612,"Jefferson Unitarian Church (Golden, CO)",811,281,502,01/30/18,,,"$852,524.00",Pacific Western Region,   Mountain Desert District
2613,"UU Church of Boulder (Boulder, CO)",270,45,209,01/22/18,,,"$392,941.00",Pacific Western Region,   Mountain Desert District
2616,"The Boulder Valley Unitarian Universalist Fellowship (Lafayette, CO)",286,71,178,01/22/18,,,"$409,453.00",Pacific Western Region,   Mountain Desert District
2617,"High Country Unitarian Universalist Fellowship (Dillon, CO)",22,0,14,01/09/18,,,"$15,253.00",Pacific Western Region,   Mountain Desert District
2620,"High Plains Church Unitarian Universalist (Colorado Springs, CO)",147,83,79,01/25/18,,,"$224,283.00",Pacific Western Region,   Mountain Desert District
2621,"All Souls Unitarian Universalist Church (Colorado Springs, CO)",135,77,92,02/01/18,,,"$215,420.00",Pacific Western Region,   Mountain Desert District
2622,"First Unitarian Society of Denver (Denver, CO)",412,135,301,01/30/18,,,"$541,244.00",Pacific Western Region,   Mountain Desert District
2623,"First Universalist Church of Denver (Denver, CO)",575,140,260,02/05/18,,,"$724,381.00",Pacific Western Region,   Mountain Desert District
2624,"UU Fellowship of Durango (Durango, CO)",144,85,140,01/18/18,,,"$254,224.00",Pacific Western Region,   Mountain Desert District
2625,"Foothills Unitarian Church (Fort Collins, CO)",595,220,394,01/26/18,,,"$680,271.00",Pacific Western Region,   Mountain Desert District
2626,"Two Rivers Unitarian Universalist (Carbondale, CO)",72,20,80,01/17/18,,,"$89,897.00",Pacific Western Region,   Mountain Desert District
2628,"Namaqua Unitarian Universalist Congregation (Loveland, CO)",113,32,62,01/18/18,,,"$122,983.00",Pacific Western Region,   Mountain Desert District
2630,"Pagosah UU Fellowship (Pagosa Springs, CO)",34,4,40,01/28/18,,,"$17,216.00",Pacific Western Region,   Mountain Desert District
2631,"UU Congregation of the Grand Valley (Grand Junction, CO)",89,24,82,01/29/18,,,"$136,735.00",Pacific Western Region,   Mountain Desert District
2632,"Unitarian Universalist Church of Greeley (Greeley, CO)",32,7,28,01/30/18,,,"$51,995.00",Pacific Western Region,   Mountain Desert District
2633,"First Unitarian Society (Pueblo, CO)",,,,,,,,Pacific Western Region,   Mountain Desert District
2634,"Columbine Unit. Univ. Church (Littleton, CO)",82,39,76,01/31/18,,,"$240,592.00",Pacific Western Region,   Mountain Desert District
3126,"UU Church in Idaho Falls (Idaho Falls, ID)",60,28,,01/21/18,,,"$111,546.00",Pacific Western Region,   Mountain Desert District
3133,"Pocatello Unitarian Universalist Fellowship (Pocatello, ID)",41,4,25,01/24/18,,,"$41,938.00",Pacific Western Region,   Mountain Desert District
5721,"Billings Unitarian Universalist Fellowship (Billings, MT)",48,16,50,01/28/18,,,"$56,081.00",Pacific Western Region,   Mountain Desert District
5722,"Unitarian Universalist Fellowship of Bozeman (Bozeman, MT)",130,30,83,01/18/18,,,"$167,213.00",Pacific Western Region,   Mountain Desert District
5724,"Glacier Unitarian Universalist Fellowship (Kalispell, MT)",48,10,40,01/20/18,,,"$48,700.00",Pacific Western Region,   Mountain Desert District
5725,"UU Fellowship of Missoula (Missoula, MT)",37,10,35,01/31/18,,,"$16,091.00",Pacific Western Region,   Mountain Desert District
5726,"Big Sky UU Fellowship (Helena, MT)",56,21,46,01/24/18,,,"$14,981.00",Pacific Western Region,   Mountain Desert District
6110,"Albuquerque Unitarian Universalist Fellowship (Albuquerque, NM)",14,0,16,01/31/18,,,"$5,950.00",Pacific Western Region,   Mountain Desert District
6111,"UU Fellowship of Otero County Inc. (Alamogordo, NM)",23,4,23,01/29/18,,,"$13,667.00",Pacific Western Region,   Mountain Desert District
6112,"First Unitarian Church of Albuquerque (Albuquerque, NM)",847,,489,01/29/18,,,"$831,405.00",Pacific Western Region,   Mountain Desert District
6113,"San Juan Unitarian Fellowship (Farmington, NM)",,,,,,,,Pacific Western Region,   Mountain Desert District
6114,"UU Church of Las Cruces (Las Cruces, NM)",184,15,119,01/31/18,,,"$237,909.00",Pacific Western Region,   Mountain Desert District
6115,"Unitarian Church of Los Alamos (Los Alamos, NM)",140,32,132,01/25/18,,,"$365,787.00",Pacific Western Region,   Mountain Desert District
6117,"UU Westside Congregation (Rio Rancho, NM)",38,0,28,01/30/18,,,"$27,314.00",Pacific Western Region,   Mountain Desert District
6120,"UU Fellowship of Silver City (Silver City, NM)",42,11,37,01/15/18,,,"$19,032.00",Pacific Western Region,   Mountain Desert District
6122,"The UU Congregation of Santa Fe NM (Santa Fe, NM)",191,13,164,01/25/18,,,"$142,224.00",Pacific Western Region,   Mountain Desert District
7734,"UU Community of El Paso (El Paso, TX)",41,8,20,01/23/18,None,,"$33,052.00",Pacific Western Region,   Mountain Desert District
7914,"Cache Valley Unitarian Universalists (Logan, UT)",44,,30,01/07/18,,,"$40,983.00",Pacific Western Region,   Mountain Desert District
7915,"First Unitarian Church (Salt Lake City, UT)",330,150,197,01/10/18,,,"$660,565.00",Pacific Western Region,   Mountain Desert District
7916,"South Valley UU Society (Cottonwood Heights, UT)",159,82,76,01/19/18,,,"$59,405.00",Pacific Western Region,   Mountain Desert District
7917,"Unitarian Universalist Church of Ogden (Ogden, UT)",75,18,75,01/29/18,,,"$149,888.00",Pacific Western Region,   Mountain Desert District
8510,"UU Fellowship of Sheridan (Sheridan, WY)",36,4,,01/24/18,,,"$11,334.00",Pacific Western Region,   Mountain Desert District
8511,"Unitarian Universalist Community of Casper WY (Casper, WY)",37,9,32,01/30/18,,,"$25,958.00",Pacific Western Region,   Mountain Desert District
8512,"Unitarian Universalist Church of Cheyenne (Cheyenne, WY)",127,52,78,01/31/18,,,"$230,635.00",Pacific Western Region,   Mountain Desert District
8513,"UU Fellowship of Laramie (Laramie, WY)",59,12,35,01/24/18,,,"$49,248.00",Pacific Western Region,   Mountain Desert District
8613,"First Unitarian Church of Victoria (Victoria, BC)",295,,179,01/29/18,,,"$382,015.00",International Region,   International District
8614,"North Shore Unitarian Church (West Vancouver, BC)",193,98,114,01/25/18,,,"$403,338.00",International Region,   International District
8615,"Arborg Unitarian Church (Arborg, MB)",,,,,,,,International Region,   International District
8616,"Capital UU Congregation of Victoria (Victoria, BC)",32,0,39,02/01/18,,,"$28,238.00",International Region,   International District
8623,"First UU Church of Winnipeg Inc. (Winnipeg, MB)",217,77,113,01/31/18,,,"$296,877.00",International Region,   International District
8624,"Unitarian Fellowship of Fredericton (Fredericton, NB)",,,,,,,,International Region,   International District
8712,"The First Unitarian Church of Hamilton Inc. (Hamilton, ON)",215,42,125,01/16/18,,,"$405,000.00",International Region,   International District
8713,"Kingston Unitarian Fellowship (Kingston, ON)",124,27,72,01/19/18,,,"$196,218.00",International Region,   International District
8723,"UU Fellowship of Ottawa (Ottawa, ON)",,,,,,,,International Region,   International District
8731,"Lakehead Unitarian Fellowship (Thunder Bay, ON)",,,,,,,,International Region,   International District
8811,"Unitarian Fellowship of Sarnia & Port Huron (Sarnia, ON)",,,,,,,,International Region,   International District
8813,"Don Heights Unitarian Congregation (Toronto, ON)",,,,,None,,,International Region,   International District
8821,"Grand River Unitarian Congregation (Kitchener, ON)",162,70,100,12/23/17,,,"$186,600.00",International Region,   International District
8825,"UU Estrie (UU Church of North Hatley) (North Hatley, QC)",,,,,,,,International Region,   International District
8831,"Lakeshore Unitarian Universalist Congregation (Lachine, QC)",36,8,30,,,,,International Region,   International District
8834,"Unitarian Congregation of Saskatoon (Saskatoon, SK)",70,25,50,01/18/18,,,"$266,988.00",International Region,   International District
8916,UU Fellowship of Paris (Paris),67,7,59,01/14/18,,,"$9,000.00",International Region,   International District
8918,"Auckland Unitarian Church (Auckland, NZ)",,,,,,,,International Region,   International District
8937,Unitarian Universalist Church of the Philippines Inc. (Negros Oriental),1311,166,,01/08/18,,,"$153,607.00",International Region,   International District
9012,The Unitarian Church of South Australia Inc. (NORWOOD SOUTH AUSTRALIA),,,,,,,,International Region,   International District
4135,"Murray Unitarian Universalist Church (Attleboro, MA)",175,68,126,01/31/18,,,"$207,014.00",New England Regional Staff,   Ballou Channing District
4211,"Unitarian Church of Barnstable (Barnstable, MA)",206,21,86,01/27/18,,,"$223,399.00",New England Regional Staff,   Ballou Channing District
4311,"All Souls UU Church (Braintree, MA)",66,2,40,01/24/18,,,"$115,848.00",New England Regional Staff,   Ballou Channing District
4312,"First Parish Brewster UU (Brewster, MA)",324,52,170,01/22/18,,,"$481,201.00",New England Regional Staff,   Ballou Channing District
4313,"First Parish Church Unitarian-Universalist (Bridgewater, MA)",89,25,68,01/29/18,,,"$131,354.00",New England Regional Staff,   Ballou Channing District
4314,"UU Church (Brockton, MA)",,,,,None,,,New England Regional Staff,   Ballou Channing District
4322,"First Parish UU Canton (Canton, MA)",82,16,60,02/01/18,,,"$184,957.00",New England Regional Staff,   Ballou Channing District
4326,"Unitarian Universalist Meeting House (Chatham, MA)",134,7,49,01/12/18,,,"$197,736.00",New England Regional Staff,   Ballou Channing District
4335,"First Parish in Cohasset (Cohasset, MA)",108,23,68,01/23/18,,,"$227,754.00",New England Regional Staff,   Ballou Channing District
4423,"First Parish Church UU (Duxbury, MA)",278,39,130,01/23/18,,,"$338,472.00",New England Regional Staff,   Ballou Channing District
4430,"Nauset Fellowship Inc. (Eastham, MA)",16,0,12,01/15/18,,,"$13,054.00",New England Regional Staff,   Ballou Channing District
4434,"UU Society of Fairhaven (Fairhaven, MA)",180,51,120,02/01/18,,,"$222,599.00",New England Regional Staff,   Ballou Channing District
4435,"The Unitarian Society in Fall River (Fall River, MA)",11,0,17,01/31/18,None,,"$32,259.00",New England Regional Staff,   Ballou Channing District
4436,"Unitarian Universalist Fellowship of Falmouth (East Falmouth, MA)",206,51,114,01/25/18,,,"$221,092.00",New England Regional Staff,   Ballou Channing District
4512,"Foxborough Universalist Church (Foxboro, MA)",41,14,30,01/31/18,,,"$24,997.00",New England Regional Staff,   Ballou Channing District
4514,"First Universalist Society in Franklin (Franklin, MA)",191,61,127,01/23/18,,,"$229,485.00",New England Regional Staff,   Ballou Channing District
4534,"First Parish in Hingham Old Ship Church (Hingham, MA)",224,65,120,01/31/18,,,"$397,291.00",New England Regional Staff,   Ballou Channing District
4536,"Second Parish in Hingham (Hingham, MA)",59,15,40,01/09/18,,,"$191,150.00",New England Regional Staff,   Ballou Channing District
4621,"First Parish in Kingston (Kingston, MA)",106,23,55,01/31/18,,,"$145,409.00",New England Regional Staff,   Ballou Channing District
4725,"First UU Society of Middleboro (Middleboro, MA)",87,31,75,01/22/18,,,"$181,236.00",New England Regional Staff,   Ballou Channing District
4733,"Second Congregational Meeting House Society UU (Nantucket, MA)",61,8,49,01/22/18,,,"$232,870.00",New England Regional Staff,   Ballou Channing District
4812,"First Unitarian Church in New Bedford (New Bedford, MA)",106,35,50,01/31/18,,,"$221,171.00",New England Regional Staff,   Ballou Channing District
4824,"Unity Church of North Easton (North Easton, MA)",59,20,28,01/10/18,,,"$100,410.00",New England Regional Staff,   Ballou Channing District
4833,"Congregational Parish in Norton (Unitarian) (Norton, MA)",13,0,5,01/03/18,,,"$18,192.00",New England Regional Staff,   Ballou Channing District
4834,"First Parish of Norwell (Norwell, MA)",148,26,70,01/30/18,,,"$256,973.00",New England Regional Staff,   Ballou Channing District
4835,"First Universalist Church of Assinippi (Hanover, MA)",,,,,None,,,New England Regional Staff,   Ballou Channing District
4912,"The Federated Church of Orleans (East Orleans, MA)",6,0,88,01/30/18,,,$0.00,New England Regional Staff,   Ballou Channing District
4922,"First Parish in Plymouth (Plymouth, MA)",61,26,40,01/31/18,,,"$122,491.00",New England Regional Staff,   Ballou Channing District
4923,"UU Meeting House of Provincetown (Provincetown, MA)",83,0,82,01/30/18,,,"$156,382.00",New England Regional Staff,   Ballou Channing District
4926,"Channing Church UU (Rockland, MA)",,,,,None,,,New England Regional Staff,   Ballou Channing District
5012,"First Parish Unitarian Universalist Church (Scituate, MA)",105,55,75,01/31/18,,,"$114,343.00",New England Regional Staff,   Ballou Channing District
5013,"Unitarian Church of Sharon (Sharon, MA)",201,91,135,01/30/18,,,"$372,073.00",New England Regional Staff,   Ballou Channing District
5024,"UU Church of Weymouth (Weymouth, MA)",23,4,12,01/30/18,,,"$87,082.00",New England Regional Staff,   Ballou Channing District
5033,"First Parish Universalist Church (Stoughton, MA)",58,7,30,01/18/18,,,"$235,575.00",New England Regional Staff,   Ballou Channing District
5111,"First Parish Church in Taunton (Taunton, MA)",95,25,65,01/31/18,None,,"$201,600.00",New England Regional Staff,   Ballou Channing District
5121,"UU Society of Martha's Vineyard (Vineyard Haven, MA)",85,22,64,01/30/18,,,"$56,262.00",New England Regional Staff,   Ballou Channing District
5135,"The First Church of West Bridgewater (West Bridgewater, MA)",48,12,38,,,,"$90,035.00",New England Regional Staff,   Ballou Channing District
7434,"Westminster Unitarian Church (East Greenwich, RI)",189,63,77,02/01/18,,,"$235,917.00",New England Regional Staff,   Ballou Channing District
7435,"First Universalist Church of Burrillville (Harrisville, RI)",,,,,None,,,New England Regional Staff,   Ballou Channing District
7510,"Unitarian Universalist Congregation of South County (Peace Dale, RI)",142,41,110,01/30/18,,,"$227,063.00",New England Regional Staff,   Ballou Channing District
7511,"Channing Memorial Church (Newport, RI)",169,27,64,01/23/18,,,"$207,859.00",New England Regional Staff,   Ballou Channing District
7512,"Church of the Mediator (Providence, RI)",1,8,8,01/03/18,,,"$14,750.00",New England Regional Staff,   Ballou Channing District
7513,"First Unitarian Church of Providence (Providence, RI)",483,162,254,01/30/18,,,"$637,785.00",New England Regional Staff,   Ballou Channing District
7514,"The First Universalist Church in Providence (Providence, RI)",18,3,20,01/03/18,,,"$204,675.00",New England Regional Staff,   Ballou Channing District
7515,"Religious Society of Bell Street Chapel (Providence, RI)",42,0,,01/30/18,,,"$147,606.00",New England Regional Staff,   Ballou Channing District
1911,"Church of the Larger Fellowship (Boston, MA)",3090,0,,01/25/18,,,"$644,863.00",Miscellaneous Region,
1913,"The Auburn Unitarian Universalist Fellowship (Auburn, AL)",94,32,63,01/10/18,,,"$116,770.00",Southern Region,
1914,"UU Church of Birmingham (Birmingham, AL)",243,40,101,01/18/18,,,"$255,856.00",Southern Region,
1921,"First Universalist Church of Camp Hill (Camp Hill, AL)",8,0,0,01/09/18,,,"$6,000.00",Southern Region,
1922,"Fairhope Unitarian Fellowship (Fairhope, AL)",129,8,76,01/13/18,,,"$55,575.00",Southern Region,
1923,"Unitarian Universalist Congregation of the Shoals (Florence, AL)",40,5,35,01/23/18,,,"$16,864.00",Southern Region,
1924,"Unitarian Universalist Church of Huntsville (Huntsville, AL)",170,80,109,01/18/18,,,"$203,288.00",Southern Region,
1925,"UU Fellowship of Mobile (Mobile, AL)",20,9,15,02/01/18,,,"$22,826.00",Southern Region,
1931,"UU Fellowship of Montgomery AL Inc. (Montgomery, AL)",75,10,55,02/01/18,,,"$116,170.00",Southern Region,
1932,"UU Congregation of Tuscaloosa (Tuscaloosa, AL)",88,21,41,01/25/18,,,"$105,939.00",Southern Region,
2023,"UU Fellowship of Fayetteville, AR (Fayetteville, AR)",137,13,65,01/27/18,,,"$149,355.00",Southern Region,
2024,"UU Village Church (Hot Springs Village, AR)",91,0,84,01/17/18,,,"$60,865.00",Southern Region,
2025,"UU Fellowship of Jonesboro (Jonesboro, AR)",25,6,15,01/30/18,,,"$9,000.00",Southern Region,
2027,"UU Church of Hot Springs (Hot Springs, AR)",33,11,27,01/07/18,,,"$21,592.00",Southern Region,
2030,"Eureka UU Fellowship (Eureka Springs, AR)",54,0,,02/01/18,,,"$17,486.00",Southern Region,
2031,"Unitarian Universalist Church of Little Rock (Little Rock, AR)",131,40,77,01/30/18,,,"$196,374.00",Southern Region,
2036,"UU Fellowship of Mountain Home AR (Mountain Home, AR)",28,0,32,02/01/18,,,"$12,500.00",Southern Region,
2040,"Unitarian Universalist Fellowship of Benton County (Rogers, AR)",40,,18,01/31/18,,,"$15,696.00",Southern Region,
2635,"Unitarian Universalist Society in Brooklyn, Connecticut, Inc. (Brooklyn, CT)",7,0,9,02/01/18,,,"$6,442.00",New England Regional Staff,
2711,"UU Congregation of Danbury (Danbury, CT)",121,58,66,02/01/18,,,"$239,833.00",Central-East Region Group,
2713,"Shoreline Unitarian Universalist Society (Madison, CT)",117,20,60,01/10/18,,,"$214,318.00",New England Regional Staff,
2714,"Unitarian Society of Hartford (Hartford, CT)",209,48,133,01/31/18,,,"$390,467.00",New England Regional Staff,
2716,"Unitarian Fellowship of Northwest Connecticut (Lakeville, CT)",,,,,None,,$876.00,New England Regional Staff,
2721,"Unitarian Universalist Society: East (Manchester, CT)",293,73,192,01/05/18,,,"$414,462.00",New England Regional Staff,
2722,"Unitarian Universalist Church in Meriden (Meriden, CT)",92,20,48,01/23/18,,,"$125,658.00",New England Regional Staff,
2723,"UU Society (New Britain, CT)",12,0,N/A,02/01/18,,,$750.00,New England Regional Staff,
2724,"First Universalist Society in New Haven (New Haven, CT)",27,0,20,01/28/18,,,"$26,868.00",New England Regional Staff,
2725,"Unitarian Society of New Haven (Hamden, CT)",349,93,204,01/29/18,,,"$492,046.00",New England Regional Staff,
2726,"Mattatuck UU Society (Woodbury, CT)",73,17,53,11/28/17,,,"$126,575.00",New England Regional Staff,
2731,"All Souls UU Congregation of New London (New London, CT)",245,90,228,01/24/18,,,"$325,290.00",New England Regional Staff,
2733,"UU Church of Norwich CT (Norwich, CT)",14,0,10,03/29/18,,,"$39,921.00",New England Regional Staff,
2811,"Unitarian Universalist Congregation in Stamford (Stamford, CT)",66,15,40,01/25/18,,,"$188,228.00",New England Regional Staff,
2812,"Unitarian Fellowship of Storrs (Storrs Mansfield, CT)",19,4,15,02/01/18,,,"$32,386.00",New England Regional Staff,
2813,"The Universalist Church of West Hartford (West Hartford, CT)",357,97,156,02/01/18,,,"$532,105.00",New England Regional Staff,
2814,"The Unitarian Church in Westport (Westport, CT)",398,155,224,01/31/18,,,"$912,773.00",New England Regional Staff,
2815,"UU Church Greater Bridgeport (Stratford, CT)",39,5,35,01/30/18,,,"$79,452.00",New England Regional Staff,
2820,"UUs of Southern Delaware (Lewes, DE)",164,22,115,01/29/18,,,"$153,230.00",   Joseph Priestley District,
2821,"Unitarian Universalists of Central Delaware (Camden, DE)",45,8,29,01/31/18,,,"$45,710.00",   Joseph Priestley District,
2822,"Unitarian Universalist Fellowship of Newark Inc (Newark, DE)",153,10,40,01/25/18,,,"$256,500.00",   Joseph Priestley District,
2823,"First Unitarian Church of Wilmington Del. (Wilmington, DE)",352,66,142,01/22/18,,,"$644,211.00",   Joseph Priestley District,
2824,"All Souls Church, Unitarian (Washington, DC)",1104,241,838,01/18/18,,,"$1,137,506.00",   Joseph Priestley District,
2825,"UU Society of Mill Creek (Delaware) (Newark, DE)",142,41,89,01/30/18,,,"$213,093.00",   Joseph Priestley District,
2828,"Washington Ethical Society (Washington, DC)",158,110,214,11/16/17,,,"$534,400.00",   Joseph Priestley District,
2831,"Universalist National Memorial Church (Washington, DC)",30,1,35,01/29/18,,,"$85,779.00",   Joseph Priestley District,
2832,"UU Fellowship of Boca Raton (Boca Raton, FL)",188,25,,02/01/18,,,"$275,040.00",Southern Region,
2833,"Manatee UU Fellowship (Bradenton, FL)",72,0,52,01/29/18,,,"$97,000.00",Southern Region,
2834,"Unitarian Universalists of Clearwater FL Inc. (Clearwater, FL)",276,56,109,02/02/18,,,"$322,174.00",Southern Region,
2835,"UU Church in the Pines (Brooksville, FL)",31,4,26,01/03/18,,,"$8,610.00",Southern Region,
2910,"UU Congregation of Lake County (Eustis, FL)",88,0,,01/14/18,,,"$44,557.00",Southern Region,
2911,"UNITARIAN UNIVERSALIST FELLOWSHIP OF CENTRAL BREVARD (Cocoa, FL)",14,0,15,01/29/18,,,"$8,100.00",Southern Region,
2912,"UU Church of Fort Lauderdale (Oakland Park, FL)",97,8,60,01/29/18,,,"$184,528.00",Southern Region,
2913,"Unitarian Universalist Church of Fort Myers Inc. (Fort Myers, FL)",230,21,137,01/24/18,,,"$274,024.00",Southern Region,
2915,"UU Fellowship of the Emerald Coast (Valparaiso, FL)",80,22,56,01/16/18,,,"$70,124.00",Southern Region,
2916,"First UU Church of West Volusia (Deland, FL)",57,6,45,02/01/18,,,"$25,698.00",Southern Region,
2917,"Community Unitarian Universalist Church (Port Orange, FL)",37,0,22,01/16/18,,,"$11,883.00",Southern Region,
2919,"Mosaic UU Congregation (Orange City, FL)",19,0,17,01/29/18,,,"$25,549.00",Southern Region,
2920,"University UU Society Inc. (Orlando, FL)",88,25,80,01/28/18,,,"$140,985.00",Southern Region,
2921,"UU Fellowship of Gainesville (Gainesville, FL)",159,34,124,01/24/18,,,"$244,609.00",Southern Region,
2922,"UU Church of Jacksonville (Jacksonville, FL)",225,38,135,02/01/18,,,"$280,298.00",Southern Region,
2923,"Friendship Fellowship at Pineda Inc. (Rockledge, FL)",97,5,70,01/22/18,,,"$68,070.00",Southern Region,
2924,"The UU Congregation of Lakeland (Lakeland, FL)",64,13,50,01/25/18,,,"$108,498.00",Southern Region,
2926,"One Island Family: The Southernmost UU Congregation (Key West, FL)",22,7,25,01/28/18,,,"$38,473.00",Southern Region,
2927,"Buckman Bridge UU Church (Orange Park, FL)",136,22,104,01/27/18,,,"$71,063.00",Southern Region,
2928,"Nature Coast UUs Inc. (Holder, FL)",61,2,45,01/29/18,,,"$39,147.00",Southern Region,
2929,"All Faiths Unitarian Congregation, Inc. (Fort Myers, FL)",143,7,86,01/29/18,,,"$145,397.00",Southern Region,
2931,"UU Church of Brevard, Inc. (W Melbourne, FL)",61,4,39,01/23/18,,,"$33,668.00",Southern Region,
2933,"Unitarian Universalist Congregation of Miami, Inc. (Miami, FL)",96,12,65,01/16/18,,,"$226,900.00",Southern Region,
2935,"First Unitarian Church of Orlando (Orlando, FL)",253,52,188,01/31/18,,,"$417,064.00",Southern Region,
2936,"UNITARIAN UNIVERSALIST CONGREGATION ORMOND BEACH, INC. (Ormond Beach, FL)",134,6,91,01/09/18,,,"$147,406.00",Southern Region,
2937,"UU Congregation of Greater Naples (Naples, FL)",334,35,167,01/26/18,,,"$357,118.00",Southern Region,
2938,"Tri-County Unitarian Universalists (FL), Inc (Summerfield, FL)",119,,N/A,01/18/18,,,"$116,702.00",Southern Region,
2939,"Spirit of Life Unitarian Universalist Church (Odessa, FL)",51,8,28,01/09/18,,,"$5,778.00",Southern Region,
3011,"UU Fellowship of Bay County (Panama City, FL)",65,19,39,01/11/18,,,"$46,817.00",Southern Region,
3012,"UU Church of Pensacola (Pensacola, FL)",116,13,71,01/18/18,,,"$127,345.00",Southern Region,
3013,"UU Fellowship of Charlotte County (Port Charlotte, FL)",125,11,100,11/19/17,,,"$134,000.00",Southern Region,
3014,"Unitarian Universalist Church of Saint Petersburg (St Petersburg, FL)",138,24,,01/17/18,,,"$208,205.00",Southern Region,
3015,"UU Church of Sarasota Inc. (Sarasota, FL)",514,30,366,01/24/18,,,"$484,002.00",Southern Region,
3017,"Unitarian Universalist Fellowship of St Augustine, Inc. (St Augustine, FL)",98,15,60,01/30/18,,,"$64,909.00",Southern Region,
3018,"UU United Fellowship (St Petersburg, FL)",27,0,,01/29/18,,,"$14,088.00",Southern Region,
3019,"River of Grass UU Congregation (Davie, FL)",130,15,68,01/31/18,,,"$245,161.00",Southern Region,
3021,"UU Church of Tallahassee (Tallahassee, FL)",156,56,112,01/30/18,,,"$187,810.00",Southern Region,
3022,"UU Church of Tampa Inc. (Tampa, FL)",196,62,115,01/30/18,,,"$216,068.00",Southern Region,
3023,"UU Church of Tarpon Springs Inc. (Tarpon Springs, FL)",81,0,56,01/09/18,,,"$40,596.00",Southern Region,
3024,"First UU Congregation of the Palm Beaches (North Palm Beach, FL)",119,0,71,01/31/18,,,"$199,845.00",Southern Region,
3025,"Treasure Coast UU Society (Stuart, FL)",77,12,65,01/31/18,,,"$111,835.00",Southern Region,
3026,"UU Fellowship of Vero Beach Inc. (Vero Beach, FL)",250,13,162,01/23/18,,,"$414,938.00",Southern Region,
3028,"UU Congregation of Venice Inc. (Venice, FL)",239,6,152,01/09/18,,,"$259,579.00",Southern Region,
3029,"UU Fellowship of Sun City Center (Sun City Center, FL)",,,,,,,,Southern Region,
3031,"UU Fellowship of Athens Inc. (Athens, GA)",322,20,153,01/28/18,,,"$268,459.00",Southern Region,
3032,"Unitarian Universalist Congregation of Atlanta (Atlanta, GA)",598,94,333,01/31/18,,,"$907,036.00",Southern Region,
3033,"All Souls Miami (Miami, FL)",75,15,40,01/29/18,,,"$3,366.00",Southern Region,
3034,"Northwest UU Congregation (Sandy Springs, GA)",197,62,96,02/01/18,,,"$276,102.00",Southern Region,
3036,"First Existentialist Church of Atlanta (Atlanta, GA)",22,0,30,02/01/18,,,"$71,305.00",Southern Region,
3039,"Georgia Mountains UU Church (Dahlonega, GA)",73,8,48,01/19/18,,,"$100,284.00",Southern Region,
3040,"Unitarian Universalists of Coastal Georgia, Inc. (Brunswick, GA)",62,7,45,01/22/18,,,"$57,339.00",Southern Region,
3041,"Mountain Light UU Church (Ellijay, GA)",40,12,37,01/18/18,,,"$26,254.00",Southern Region,
3110,"Unitarian Universalist Fellowship of Columbus (Fortson, GA)",61,18,51,01/21/18,,,"$83,542.00",Southern Region,
3111,"The Unitarian Universalist Church of Augusta (Augusta, GA)",132,56,93,01/24/18,,,"$181,148.00",Southern Region,
3112,"Canon UU Church (Canon, GA)",13,0,18,01/31/18,,,"$5,980.00",Southern Region,
3113,"Emerson Unitarian Universalist Congregation (Marietta, GA)",166,88,136,01/30/18,,,"$279,028.00",Southern Region,
3115,"Unitarian Universalist Church of Savannah (Savannah, GA)",242,61,140,01/31/18,,,"$292,355.00",Southern Region,
3118,"High Street UU Church (Macon, GA)",121,48,58,12/28/17,,,"$148,175.00",Southern Region,
3119,"UU Congregation of Gwinnett (Lawrenceville, GA)",124,21,71,01/23/18,,,"$166,882.00",Southern Region,
3120,"UU Fellowship of Statesboro (Statesboro, GA)",70,15,50,01/16/18,,,"$49,494.00",Southern Region,
3121,"Unitarian Fellowship of Valdosta GA (Valdosta, GA)",26,11,35,01/14/18,,,"$21,909.00",Southern Region,
3123,"UU Metro Atlanta North Congregation (Roswell, GA)",192,80,140,01/17/18,,,"$265,301.00",Southern Region,
3134,"First Unitarian Church (Alton, IL)",54,20,35,01/29/18,,,"$115,635.00",MidAmerica Region,
